Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
73,tt0083466,2017-04-24,2017-04-24,,Police Squad!,https://www.imdb.com/title/tt0083466/,tvSeries,8.4,24,1982,"Comedy, Crime",20558,1982-03-04,
74,tt1480684,2017-04-24,2017-04-24,,The League,https://www.imdb.com/title/tt1480684/,tvSeries,8.3,22,2009,"Comedy, Sport",52038,2009-10-29,
75,tt0373732,2017-04-24,2017-04-24,,The Boondocks,https://www.imdb.com/title/tt0373732/,tvSeries,8.5,22,2005,"Animation, Action, Comedy, Drama",35576,2005-11-06,
76,tt0098800,2017-04-24,2017-04-24,,The Fresh Prince of Bel-Air,https://www.imdb.com/title/tt0098800/,tvSeries,7.9,22,1990,Comedy,144348,1990-09-10,
77,tt0165961,2017-04-24,2017-04-24,,Sports Night,https://www.imdb.com/title/tt0165961/,tvSeries,8.3,30,1998,"Comedy, Drama, Sport",8599,1998-09-22,
78,tt1604113,2017-04-24,2017-04-24,,Friends with Benefits,https://www.imdb.com/title/tt1604113/,tvSeries,6.5,21,2011,Comedy,3511,2011-08-05,
79,tt0086770,2017-04-24,2017-04-24,,Night Court,https://www.imdb.com/title/tt0086770/,tvSeries,7.7,30,1984,Comedy,17793,1984-01-04,
80,tt3502262,2017-04-24,2017-04-24,,Transparent,https://www.imdb.com/title/tt3502262/,tvSeries,7.8,30,2014,"Comedy, Drama",23413,2014-02-06,
81,tt0086687,2017-04-24,2017-04-24,,The Cosby Show,https://www.imdb.com/title/tt0086687/,tvSeries,7.4,30,1984,"Comedy, Family, Romance",36288,1984-09-20,
82,tt0159206,2017-04-24,2017-04-24,,Sex and the City,https://www.imdb.com/title/tt0159206/,tvSeries,7.3,30,1998,"Comedy, Drama, Romance",141972,1998-05-06,
83,tt0068049,2017-04-24,2017-04-24,,The Bob Newhart Show,https://www.imdb.com/title/tt0068049/,tvSeries,8.1,30,1972,Comedy,6721,1972-09-16,
84,tt0057733,2017-04-24,2017-04-24,,Bewitched,https://www.imdb.com/title/tt0057733/,tvSeries,7.6,25,1964,"Comedy, Family, Fantasy, Romance",24292,1964-09-17,
85,tt0094514,2017-04-24,2017-04-24,,Murphy Brown,https://www.imdb.com/title/tt0094514/,tvSeries,6.9,30,1988,Comedy,10606,1988-11-14,
86,tt0083413,2017-04-24,2017-04-24,,Family Ties,https://www.imdb.com/title/tt0083413/,tvSeries,7.3,30,1982,"Comedy, Drama, Family",20264,1982-09-22,
